word,sentiment,p,n,a,exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఎదురు,n,0,1,0,1,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కట్టు,a,0,0,1,1,"అగు,ఏర్పడు",నిబద్ధమగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కప్పు,a,0,0,1,1,"పర్వు,వ్యాపించు,క్రమ్ము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాడు,n,0,1,0,1,"నాటుకొను,గ్రుచుకొను,స్థిరపడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాడు,n,0,1,0,1,"నాటుకొను,గ్రుచుకొను,స్థిరపడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాలు,n,0,1,0,1,"మండు,ప్రజ్వలించు","దగ్ధమగు,తప్తమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కావచ్చు,a,0,0,1,1,అగుటకు సిద్ధమగు,కానోపు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కొట్టు,n,0,1,0,1,"తగులు,తాకు,ఎక్కువగా కలుగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చచ్చు,n,0,1,0,1,మృతినొందు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చాలు,a,0,0,1,1,"సమర్ధమగు, అంగీకరించు, ఇష్టపడు, తీరు, సరిపడు, సమానమగు, దీటగు, పర్యప్తమగు, సరిపోవు, తగు, అర్హమగు, ముగుయు",,,,,,,దీటగు,పర్యప్తమగు,సరిపోవు,తగు,అర్హమగు,ముగుయు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చూపు,a,0,0,1,1,"పొడచూపు, కనబడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చెడు,n,0,1,0,1,"నశించు, పోవు, కొల్లపోవు, చచ్చు, మృతుడగు, తగ్గు, దురవస్థనొందు, దూరమగు, మలినమగు, వ్యర్ధమగు, చిముడు, చడివదియగు",,,,,,,దురవస్థనొందు,దూరమగు,మలినమగు,వ్యర్ధమగు,చిముడు,చడివదియగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
డొక్కు,n,0,1,0,1,ముదియు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తప్పు,n,0,1,0,1,"తప్పుజేయు, అపచారముచేయు, అపకారముచేయు, హానిచేయు, ద్రోహము చేయు,తొలగు,పొరపడు,ప్రమాదపడు, దొరకకుండు,చిక్కకుండు,వశముగాకుండు, తగులకుండు,చెదరు,కడుచు,మించిపొవు, వ్వర్థమగు,నిష్పలమగు,అసత్యమగు,కల్లమగు,విడివడు,వేఱుపడు,చుౄతినాంధు,మరణించు.",,,,,,,పొరపడు,ప్రమాదపడు,దొరకకుండు,చిక్కకుండు,వశముగాకుండు,తగులకుండు,చెదరు,కడుచు,మించిపొవు,వ్వర్థమగు,నిష్పలమగు,అసత్యమగు,కల్లమగు,విడివడు,వేఱుపడు,చుౄతినాంధు,మరణించు.,,,,,,,,,,,,,,,,,,,,,,,
తమకు,a,0,0,1,1,"చలించు,భయపడు,అడగు,దాగు.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తలకు,a,0,0,1,1,"భయపడు,వెఱుచు,జంకు,వెనుదేయు, సంకోచపడు,బాధనొంధు,ఁశమపడు, దుఃఖపడు,చింతించు,కంపించు,విరియు, విడిపోవు.",,,,,,,ఁశమపడు,దుఃఖపడు,చింతించు,కంపించు,విరియు,విడిపోవు.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తారు,a,0,0,1,1,"సంచరించు, మెలగు, ఇట్టట్టు తురుగు, అఱ్ఱాడు, పోవు, వెళ్ళు, పాయు, తొలగు, కలుగు, పుట్టు, ప్రసరించు, ప్యాపించు, క్షీణించు, తగ్గు, కాంతిహీనమగు.",,,,,,,పాయు,తొలగు,కలుగు,పుట్టు,ప్రసరించు,ప్యాపించు,క్షీణించు,తగ్గు,కాంతిహీనమగు.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తీరు,a,0,0,1,1,"నెఱవేఱు, సిద్ధించు, తెగు, పరిష్కృతమగు, కుదురు, స్వస్థమగు, తగు, యుక్తమగు, వాడినొందు, తళుకెక్కు, సుశిక్షితమగు, నిలుచు",,,,,,,తగు,యుక్తమగు,వాడినొందు,తళుకెక్కు,సుశిక్షితమగు,నిలుచు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తెరలు,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నవ్వు,p,1,0,0,1,"హసించు,హాసముచేయు,ఆనందించు,సంతోషించు,అపహసించు,మేలమాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాడు,a,0,0,1,1,"నాటు,గ్రుచ్చుకొను,ఖండితమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నిండు,p,1,0,0,1,"అధికముగా,పూర్ణముగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మను,p,1,0,0,1,"జీవించు,బ్రతుకు","జీవనము చేయు,సుఖజీవనం చేయు,హాయిగా బ్రతుకు","వృద్ధినొందు,పెరుగు","వర్తిలు,నడుచుకొను","వర్తించు,ఉండు","పుట్టు,జనించు","ఒప్పు,శోభిల్లు,కృతకృత్యుడగు,ధన్యుడగు",పెరుగు,వర్తిలు,నడుచుకొను,వర్తించు,ఉండు,పుట్టు,జనించు,ఒప్పు,శోభిల్లు,కృతకృత్యుడగు,ధన్యుడగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మించు,p,1,0,0,1,"తళతళ కాంతిగలది 2.అధికము,గొప్పది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ముదురు,n,0,1,0,1,లేతదనము వీడి పరిణతి నొందు,"హెచ్చు,అధికమగు","పెరుగు,వృద్ధిపొందు","ఒదుగు,ముడిగియుండు",,,,ముడిగియుండు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మరియు,a,0,0,1,1,"తెగు,ఖండితమగు,ఊడు,సడలు,భగ్నమగు,విఱుగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మూడు,a,0,0,1,1,"(చేటు మొ"")సంభవించు,కలుగు",ముగియు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెట్టు,p,1,0,0,1,"ఉన్నతమైనది, ఎత్తైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెప్పు,p,1,0,0,1,"ఎగురు,దుముకు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రా,p,1,0,0,1,"నచ్చు ధాతువు యొక్క ప్రార్థనార్థక రూపము,ఏతెమ్ము,రమ్ము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రాజు,p,1,0,0,1,"తనజాతియందు శ్రేష్ఠుడు, ప్రధానుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
రోజు,a,0,0,1,1,"నిట్టూర్చు,ఉచ్ఛ్వసించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వంద,a,0,0,1,1,"సంతాపించు 2.దుఃఖపడు 3.వాడు,మ్లానమగు 4.వివర్ణమగు,వెలవెలబారు 5.చచ్చు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వచ్చు,p,1,0,0,1,"దరిచేరు,డగ్గరు,ఏతెంచు 2.సంభవించు,తటస్థించు 3.లాభించు 4.కలుగు,ఉద్భవించు 5.(పండ్లు)మొలచు,అంకురించు 6.లభించు,దొరకు 7.చెంచు,ముట్టు 8.(గ్రహాదులు)ఆవేళించు,పూను 9.ఇష్టమగు,అనుకూలమగు 10.ప్రసన్నమగు 11.అలవడు,అభ్యస్తమగు 12.అగు 13.సాటియగు 14.ప్రవర్తించు,నడచుకొను 15.ప్రసక్తమగు 16.వర్థిల్లు 17.సమర్థమగు 18.నెరవేరు,సిద్ధించు 19.కారు,స్రవించు 20.పొంగు,నిండిప్రవహించు 21.తగు,యుక్తమగు 22.శక్యమగు,వలనుపడు 23.సిద్దముగనుండు 24.పూను,ఉద్యమించు,యత్నించు 25.తొడగు,ఉపక్రమించు 26.తలచు",,,,,,,దొరకు 7.చెంచు,ముట్టు 8.(గ్రహాదులు)ఆవేళించు,పూను 9.ఇష్టమగు,అనుకూలమగు 10.ప్రసన్నమగు 11.అలవడు,అభ్యస్తమగు 12.అగు 13.సాటియగు 14.ప్రవర్తించు,నడచుకొను 15.ప్రసక్తమగు 16.వర్థిల్లు 17.సమర్థమగు 18.నెరవేరు,సిద్ధించు 19.కారు,స్రవించు 20.పొంగు,నిండిప్రవహించు 21.తగు,యుక్తమగు 22.శక్యమగు,వలనుపడు 23.సిద్దముగనుండు 24.పూను,ఉద్యమించు,యత్నించు 25.తొడగు,ఉపక్రమించు 26.తలచు,,,,,,,,,,,,,,,,,,,,,,,,,,
వాడు,a,0,0,1,1,"వడలు,మ్లానమగు 2.అలయు,బడలు 3.ఖేదపడు 4.ఎండ,శుష్కించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వారు,a,0,0,1,1,ఉడుగు 2.తక్కువయగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వాలు,a,0,0,1,1,"విజ్రుంభించు 2.అతిశయించు 3.(పక్షి)కాలూను,క్రిందకుదిగు 4.ఒరగు,కూలు 5.ప్రసిద్ధికెక్కు 6.ఆసక్తమగు 7.ప్రకాశించు 8.వ్రేలు 9.ప్రవేశించు 10.పడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వినవచ్చు,a,0,0,1,1,"వినబడు,శ్రవణగోచరమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
విసుగు,n,0,1,0,1,"వేసరు,విసువునొందు,నిర్వేదమునొందు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వీడు,n,0,1,0,1,"వీడిపోవు 2.విచ్చిపోవు,ఊడు 3.జారిపోవు 4.పొదలు,వర్ధిల్లు 5.శిధిలమగు,తగ్గు,నశించు 6.విశదమగు,స్పష్టమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వెలుగు,p,1,0,0,1,"ప్రకాశించు 2.జ్వలించు,మండు 3.ఒప్పు,శోబిల్లు 4.ప్రసిద్ధికెక్కు 5.ప్రతిఫలించు 6.ఉద్రేకించు,విజ్రుంభించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అంగీకరించు,p,1,0,0,1,స్వీకరించు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అచ్చు,p,1,0,0,1,"శుద్ధము,దోషములేనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అడ్డు,n,0,1,0,1,అడ్డము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అను,a,0,0,1,1,"వచించు,ప్రతిపాదించు (క) .పలుకు,చెప్పు (ట).ప్రశంసించు (త).నిందించు,ఆక్షెపించు(ప్ర).వ్యాజ్యముగాచెప్పు,మిషగాచెప్పు(గ).ప్రశ్నించు,అడుగు","ఉత్తరమిచ్చు(జ).పాడు,గానము చేయు 2.భావించు,పరిగణిoచు (i)తలచు,ఎంచు (ii).భ్రమచేభావించు",,,,,,ఉత్తరమిచ్చు(జ).పాడు,గానము చేయు 2.భావించు,పరిగణిoచు (i)తలచు,ఎంచు (ii).భ్రమచేభావించు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అమ్ము,a,0,0,1,1,అమ్మబడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అరువు,a,0,0,1,1,"ఇనుము,లొంగు,అడగు 2.దక్కు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అరువు,a,0,0,1,1,"ఇనుము,లొంగు,అడగు 2.దక్కు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అల్లు,a,0,0,1,1,"అల్లుకొను,పెనగొను",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఆకట్టు,p,1,0,0,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఆడు,a,0,0,1,1,"చలించు,కదలు 2.(అవయవాదులు స్వకార్యమందు)ప్రవర్తించు 3.సంచరించు,తిరుగు","విహరించు 4.మునుగు,స్నానముచేయు 5.క్రీడించు 6.నర్తించు 7.కాడు,గ్రుచ్చుకొను",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఈడు,a,0,0,1,1,"చాగు,ముందునకు బోవు 2.వెనుకబడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఊరు,a,0,0,1,1,"లోపలనుండి(ద్రవము)పైకివచ్చు 2.నాను 3.తడిగలదియగు,ద్రవించు 4.ఆసక్తి గలదియగు,ఆసగొను 5.పుట్టు,కలుగు 6.పెరుగు,పెద్దదియగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఎత్తు,a,0,0,1,1,"కలుగు 2.(పోరుటకు)పూను,కడగు 3.దండెత్తు,పోరుటకై బయలుదేరు 4.అతిశయించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఎదురు,n,0,1,0,1,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఒట్టు,a,0,0,1,1,"ఉంచు,పెట్టు 2.దహించు,కాల్చు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కట్టు,a,0,0,1,1,"అగు,ఏర్పడు",నిబద్ధమగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కప్పు,a,0,0,1,1,"పర్వు,వ్యాపించు,క్రమ్ము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాడు,n,0,1,0,1,"నాటుకొను,గ్రుచుకొను,స్థిరపడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కిట్టు,a,0,0,1,1,చంపు,"సమీపించు,కదియు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కుట్టు,a,0,0,1,1,(వస్త్రపర్ణాదులు)కుట్టు,"(చీమ,తేలు,తుమ్మెద మొ..)కుట్టు",గ్రుచ్చు,(చెవులు మొ..)కుట్టు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కొట్టు,n,0,1,0,1,"తగులు,తాకు,ఎక్కువగా కలుగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చదువు,a,0,0,1,1,"పఠించు, పలుకు, శుభసమయమలలో పురోహిత్తుడు కట్నములను అవియిచ్చువారు పేరుతోను పుచ్చుకొనువరిపేరుతోను చెప్పి ప్రకటించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చాటు,a,0,0,1,1,"చాటైనది,మఱుగుపడినది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చారు,a,0,0,1,1,చీపురుగట్టు యడుగుతో నుఱిచిన కళ్ళమును - ఊడ్చు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చూడు,a,0,0,1,1,కాల్చుటకు సాధనమైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చూపు,a,0,0,1,1,"పొడచూపు, కనబడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చేదు,n,0,1,0,1,"తిక్తము,ఇంపు కానిది,అనిష్టము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తప్పాడు,n,0,1,0,1,"నిందించు,దూషిoచు.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తప్పు,n,0,1,0,1,"తప్పుజేయు, అపచారముచేయు, అపకారముచేయు, హానిచేయు, ద్రోహము చేయు,తొలగు,పొరపడు,ప్రమాదపడు, దొరకకుండు,చిక్కకుండు,వశముగాకుండు, తగులకుండు,చెదరు,కడుచు,మించిపొవు, వ్వర్థమగు,నిష్పలమగు,అసత్యమగు,కల్లమగు,విడివడు,వేఱుపడు,చుౄతినాంధు,మరణించు.",,,,,,,పొరపడు,ప్రమాదపడు,దొరకకుండు,చిక్కకుండు,వశముగాకుండు,తగులకుండు,చెదరు,కడుచు,మించిపొవు,వ్వర్థమగు,నిష్పలమగు,అసత్యమగు,కల్లమగు,విడివడు,వేఱుపడు,చుౄతినాంధు,మరణించు.,,,,,,,,,,,,,,,,,,,,,,,
తెలుపు,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తోడు,p,1,0,0,1,సహాయముగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నవ్వు,p,1,0,0,1,"హసించు,హాసముచేయు,ఆనందించు,సంతోషించు,అపహసించు,మేలమాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాక,a,0,0,1,1,అనక,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాకు,a,0,0,1,1,"లేహనము చేయు,నాలుకతో రాచిలోగొను,స్పృశించు,తాకు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నాడు,a,0,0,1,1,"నాటు,గ్రుచ్చుకొను,ఖండితమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మలుపు,a,0,0,1,1,"ఆర్చు,ఆర్పివేయు",నశింపజేయు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మారు,a,0,0,1,1,"కొట్టు,ప్రహరించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెట్టు,p,1,0,0,1,"ఉన్నతమైనది, ఎత్తైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వాడు,n,0,1,0,1,"వడలు,మ్లానమగు 2.అలయు,బడలు 3.ఖేదపడు 4.ఎండ,శుష్కించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వారు,a,0,0,1,1,ఉడుగు 2.తక్కువయగు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వాలు,n,0,1,0,1,"విజ్రుంభించు 2.అతిశయించు 3.(పక్షి)కాలూను,క్రిందకుదిగు 4.ఒరగు,కూలు 5.ప్రసిద్ధికెక్కు 6.ఆసక్తమగు 7.ప్రకాశించు 8.వ్రేలు 9.ప్రవేశించు 10.పడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వీడు,n,0,1,0,1,"వీడిపోవు 2.విచ్చిపోవు,ఊడు 3.జారిపోవు 4.పొదలు,వర్ధిల్లు 5.శిధిలమగు,తగ్గు,నశించు 6.విశదమగు,స్పష్టమగు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అంగీకరించు,p,1,0,0,1,స్వీకరించు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఒట్టు,p,1,0,0,1,"ఉంచు,పెట్టు 2.దహించు,కాల్చు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కిట్టు,n,0,1,0,1,చంపు,"సమీపించు,కదియు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తారు,a,0,0,1,1,"సంచరించు, మెలగు, ఇట్టట్టు తురుగు, అఱ్ఱాడు, పోవు, వెళ్ళు, పాయు, తొలగు, కలుగు, పుట్టు, ప్రసరించు, ప్యాపించు, క్షీణించు, తగ్గు, కాంతిహీనమగు.",,,,,,,పాయు,తొలగు,కలుగు,పుట్టు,ప్రసరించు,ప్యాపించు,క్షీణించు,తగ్గు,కాంతిహీనమగు.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మేము,a,0,0,1,1,"అంగీకరించు,ఒప్పుకొను",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పండు,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పన్ను,a,0,0,1,1,"యుద్ధమునకు సిద్ధపడు,సిద్ధపడు 2.కవియు,తలపడు ౩.పూను,ఉద్యమించు 4.అతిశయించు 5.వ్యాపించు,ప్రసరించు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పాచు,n,0,1,0,1,"పాయజేయు,తొలగించు 2.చిక్కెడలించు,విప్పు 3.అప్పుతీర్చు 4.పోగొట్టు,నశింపజేయు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పారు,a,0,0,1,1,పరుగెత్తు,ఎగురు 2.పాసనము చేయు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పారు,a,0,0,1,1,పరుగెత్తు,ఎగురు 2.పాసనము చేయు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
పెట్టు,a,0,0,1,1,"1.ఇచ్చు, ఒసగు, ఆహారమిచ్చు, 2.ఇడు, వైచు, వేయులవతెనే ఇది సందర్భమును బట్టి పెక్కర్ధముల నిచ్చును, 3.వడ్డించు,4.చెల్లించు, 5.పొందించు, పఱుచు, 6.ఆరోపించు, మోపు, 7.అమర్చు, తీర్చు, 8.అలదు, రాచు, 9.ఆభరణాదుల ధరించు, 10.ధరింపజేయు, 11.కలిగించు, 12.దిగవిడుచు, విడుచు, 13.ప్రసవించు, 14.పక్షులు గ్రుడ్లను పొదివి పిల్లలను చేయు, 15.ఒప్పగించు, 16.ఉంచు 17.నెలకొల్పు, నిలుపు, 18.నియోగించు, పనుచు, 19.గ్రుచ్చు, నాటు, 20.చేయు, కావించు, 21.నిర్ణయించు, 22.కట్టు, నిర్మించు, 23.కల్పించు, పన్ను, 24.నిర్ధేశించు, చూపు, 25.మూయు 26.ప్రహరించు, కొట్టు, చఱచు, 27.కొన్ని సకర్మధాతువుల క్త్వార్ధకరూపముల కనుప్రయుక్తమై ""అత్యంతము, పూర్తిగా"" అను నర్ధములిచ్చును, 28.పలుకు, ఉచ్చరించు",,,,,,,3.వడ్డించు,4.చెల్లించు,5.పొందించు,పఱుచు,6.ఆరోపించు,మోపు,7.అమర్చు,తీర్చు,8.అలదు,రాచు,9.ఆభరణాదుల ధరించు,10.ధరింపజేయు,11.కలిగించు,12.దిగవిడుచు,విడుచు,13.ప్రసవించు,14.పక్షులు గ్రుడ్లను పొదివి పిల్లలను చేయు,15.ఒప్పగించు,16.ఉంచు 17.నెలకొల్పు,నిలుపు,18.నియోగించు,పనుచు,19.గ్రుచ్చు,నాటు,20.చేయు,కావించు,21.నిర్ణయించు,22.కట్టు,నిర్మించు,23.కల్పించు,పన్ను,24.నిర్ధేశించు,చూపు,25.మూయు 26.ప్రహరించు,కొట్టు,చఱచు,"27.కొన్ని సకర్మధాతువుల క్త్వార్ధకరూపముల కనుప్రయుక్తమై ""అత్యంతము","పూర్తిగా"" అను నర్ధములిచ్చును",28.పలుకు,ఉచ్చరించు
పో,n,0,1,0,1,"1.పోవుధాతు ప్రార్ధనాద్యర్ధక మద్యమపురు షైకవచనరూపము, 2.అవ్యయముగా నుపయోగపడుచు ""కదా""యనుదాని యర్ధమునిచ్చుచు నిశ్చయాశ్చర్యాదులను దెలుపును",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,47,157,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
