క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
"చెవుడుప(డ్ప)డు, చెవుడువడు","బధిరమగు, చెవుడు గలదగు",,2,,,1,,,,,
చేకురు-చేకుఱు,లభించు,చేయు ,2,,,1,,,,,
చేకూడు - చేకూరు,"లభించు, ప్రాప్తించు",,,,,1,,,2,,
చేచా(సా)చూ,"అపేక్షపడు, ఆశపడు, సిద్ధమగు",,,,2,,1,,,,
చేచేపు,మిక్కిలి చేపు,,,,1,,2,,,,
చేడ్ప(డ్వ)డు-చెడు,చచ్చు,,,1,,,,2,,,
చేతరించు,చైతన్యము కలదియగు,,1,,,2,,,,,
చేతవు(గు)లు,"లభించు, దొరకు",,2,,,1,,,,,
చేదోడుపడు,"సహాయమగు, తోడ్పడు",,,,2,,1,,,,
చేపడు,"లభించు, పట్టువడు, దొరకు, అగు, కలుగు",,1,,,,2,,,,
చేపు,"పాలు స్రవించుట కున్ముఖమగు, స్రావోన్ముఖమగు",,,1,,,2,,,,
చేమొగుచు,"చేతులు మొగడజేయు, చేతులు జోడించు నమస్కరించు",,,,1,,,,2,,
చేమోడుచు(డ్చు),నమస్కరించు,,,,1,,,,2,,
చేరబడు,"ఏకీభవించు, కలియు",,,1,,,,2,,,
చేరికయగు,"దరిజేరు, సమీపించు",,,2,1,,,,,,
చేరు,"సమీపించు, లభించు, ప్రాప్తించు, దొరకు, కలుగు, సిద్ధించు, నెఱవేఱు, ప్రవేశించు, పడు, ఒఱగు, అందు, పోవు",,,1,2,,,,,,
చేవిచ్చు,నమస్కరించు,,,,1,,,,2,,
చొక్కిపడు,ఆశ్చర్యపడు,చొక్కు,,,1,,2,,,,
చొక్కిలు(ల్లు),వ్యామోహపడు,చొక్కు,,,1,,,,1,,
చొక్కిళ్లువోవు,"చొట్టలుపడు, నొక్కులుపడు",,,1,,,,2,,,
చొక్కు,"పరవశమగు, వివశతనొందు, మోహమునొందు, వలపుగొను, లొంగు, అధీనమగు, చచ్చు, మరణించు",,,,2,,1,,,,
చొక్కుమడగు,"చొక్కుచేమడగు, అడగు",,1,,,,2,,,,
చొచ్చిలు(ల్లు)-చొచ్చు,ప్రవేశించు,,,2,1,,,,,,
చొచ్చివచ్చు,"మీదికి త్రోసికొనివచ్చు, పైబడు",చొచ్చు,,1,2,,,,,,
చొచ్చు,"కడగు, యత్నించు, ఉద్యమించు, మొదలుపెట్టు, ప్రారంభించు, ఆయత్తపడు, సిద్ధమగు, పోవు, సంభవించు, కలుగు, వచ్చు, వడబడు, అంగీకరించు",,,1,2,,,,,,
చొప్పడు,"కలుగు, వచ్చు, ప్రాప్తమగు, లభించు, దొరకు,
శక్యమగు, సాధ్యమగు, తగుయుక్తమగు, అర్హమగు, వ్యక్తమగు, స్పష్టమగు, తిన్ననగు, సహాయపడు, తోడ్పడు, పడు, వ్రాలు, ఒప్పు",,,,,,1,,2,,
చొప్పిల్లు,"చొప్పడు, తగు",చొప్ప,,,,,1,,2,,
చొరబడు,"ప్రవేశించు, చొచ్చు, కలబడు",,,1,2,,,,,,
చౌకపడు,"చులకనగు,తేలికయగు",,,1,,,2,,,,
చౌకళించు-చవుళించు,"ఎగురు, దుముకు, నటించు, ఆడు, చలించు, ఒప్పు, శోభిల్లు, వ్యాపించు",చౌ,,,1,2,,,,,
జంకు - జనుకు,"భయపడు, బెదరు, సంకోచించు, వెనుదీయు, సందేహించు, చలించు, జవ్వాడు, క్రుంగు, దిగబడు",,,,,1,2,,,,
జంతపట్టు,కలుపు తేగి చక్కగా పండుటకై పైరు నడుమ దున్ను,,,,2,1,,,,,
జంపాడు,"జవ్వాడు,",జంపు,,,1,,2,,,,
జక్కించు,కట్టుపడు,,,,2,,,,1,,
జక్కిణిగొను,"నట్యము చేయు, నృత్యము చేయు",,,1,2,,,,,,
జక్కొను,"లభించు, దొరకు",,,,,1,,,2,,
జగడమాడు,కలహించు,,,,,1,2,,,,
జగడించు,"జగడమాడు, కలహించు",జగడము,,,,1,2,,,,
జజ్జుకొను,"దుర్బలమగు, బలహీనత నొందు",,,1,,,2,,,,
జటిగొను,"విలుచు, క్రయించు, కొను, వశపఱచుకొను, స్వాధీనము చేసికొను",జట్టి,,,1,2,,,,,
జట్టిదక్కు,అమ్ముడువోపు,,2,,1,,,,,,
జడ(లు)గట్టు - జడగొను,"జడగా నేర్పడు, అంటుకొనిపోవు, పెనగొను, మెలిపడు,కలిసికొను",జడ,,1,,,,2,,,
జడనుపడు,మాంద్యము నొందు,,2,,,,1,,,,
జడిగొను,"అతిశయించు, మెండుకొను, ముమ్మరించు, ఎడతెగకుండా, అవిఛ్చిన్నమగు,  ఎడము లేక యుండు, దట్టమగు, సంఘీభవించు, గుంపుగూడు", ,1,,,2,,,,,
జడిప(వ)ట్టు,ముసురు పట్టు,,2,,,,1,,,,
జడియు,"భయపడు, భీతిల్లు, చలించు, కదలు, కంపించు, వడకు, చెదిరిపడు, రాలు, తొలగు, తొలగిపోఅవు
దట్టమగు, స్రుక్కు, మ్రోయు, ధ్వనిచేయు

",,,,,1,2,,,,
జడ్డుప(వ)డు-జద్దువడు,"జడతనొందు, అలసతనొదు, పారవశ్యము నొందు, సామ్యము, తుల, జట్టు, పక్షము, చెలిమి, మైత్రి ",,2,,,,1,,,,
జత(లు)గట్టు,"జోడు గట్టు, కవగూడు",జత,,1,,,,2,,,
జతగూడు,"జతగా కూడు, జట్లుగా ఏర్పడు, కలియు, రమించు, కలుగు, లభించు, స్నేహము చేయు, చెలిమి చేయు. కలియు, రమించు",జత,,,1,2,,,,,
జతనపడు - జతనుపడు,యత్నించు,జతన,,,1,,2,,,,
జతపడు,"కూడు, కలియు, చేకూరు, లభించు, సరిపడు, అనుకూలమగు",జత,,1,,,,2,,,
జతవచ్చు,"సమానమగు, ఈడగు",జత,,1,,,,2,,,
జద్దు(వ)పడు - జడ్డువ(ప)డు,పరవశతనొందు,,,1,,,,2,,,
జనుకు - జంకు,"వెఱచు, భయపడు",,,,1,2,,,,,
జన్నిగొను,సన్నిపాత రోగపీడితుడగు,,2,,,,1,,,,
జబ్బుపడు,"మందమగు, నిష్ఫలమగు, వ్యర్ధమగు, డేలుపడు, నిరుత్సహమగు, భగ్నమగు, చెడు",,1,,,,2,,,,
జబ్బువదులు,విశ్లధమగు,,,1,,,2,,,,
జర(రు)గు,"డేకు, కదలు, చలించు, జాఱు, వేడు, ఊడు, పోవు, తొలగించు, తిరుగు, సంచరించు, పరిగెత్తు, పారిపోవు,  ప్రవహించు, పాఱు, వర్తించు, మెలగు, చాగు, ప్రవర్తిల్లు, నడచు, సాగు, ఉండు, ప్రాప్తమగు, లభించు, వ్యాపించు, ప్రసరించు, పరగు, ప్రసిద్ధమగు, అగు, ఒనగూడు, సంభవించు",,2,1,,,,,,,
జలదరించు,"అసిమాడు, చలించు, భయపడు, వణకు ",జలదరము,,,1,,2,,,,
జలపరించు - జలదరించు,కంపించు,,,1,,,2,,,,
జల్లించు,"కాఱు, శ్రవించు, వీడు, విడిపడు",జల్లి,,1,2,,,,,,
జల్లుకొను,"మూగు, గుంపుగా గూడు",జల్లు,,1,,2,,,,,
జవదాటు,మీఱు ,,,2,1,,,,,,
జవుకు - జౌకు,"మెత్తబడు, మెత్తగిల్లు, క్రుంగు, ధేర్య్హీనమగు, భయపడు, సారహీనమగు, చివుకు ",,,1,,,2,,,,
జవ్వాడు,"కంపించు, వడకు, చలించు,తొలగు, చెదరు, ఊగాడు",,,1,,,2,,,,
జాజువాఱు,ఎఱ్ఱనగు,,,,,,1,,2,,
జాడ(లు)ప(వ)డు,"విరళమగు, తఱచు లేనిదగు ",,1,,,2,,,,,
జాదుకొను,"ఉద్భవించు, కలుగు",,,1,,2,,,,,
జానువడు,"స్పష్టపడు, తెల్లమగు",,,1,,2,,,,,
జాఱు,"చ్యుతమగు, గళితమగు, దిగజాఱు, దిగు, విడిపోవు, స్రవించు, కాఱు, ఓడు, కాఱిపడు, కడచు, గతించు, వెడలు, వెళ్ళు, పాఱిపోవు, తొలగు, నశించు, తప్పు, వెడు, వదలు ",,,1,,,2,,,,
జాఱువాఱు - జాఱు,"చ్యుతమగు, వెడలు, వెళ్ళు, తొలగు",,,1,,,2,,,,
జాఱువోవు,తొలగు,జాఱు,,1,,,2,,,,
జాలిబడు,"దుఃఖపడు, విచారపడు, కష్టపడు, శ్రమపడు, తాపమొందు, వాంఛించు, భయపడు    ",,,,,2,1,,,,
జాలిబెట్టు,"కష్టపెట్టు, శ్రమపెట్టు",,,,,2,1,,,,
జాలిబొందు,భయపడు,,,,,1,2,,,,
జాలిగుడుచు-జాలిగొను,దుఃఖపడు,,,,,2,1,,,,
"జాలుకొ(గొ)ను, జాల్గొను ","ప్రవహించు, కాఱు, స్రవించు, వర్ధిల్లు, ప్రసరించు, వ్యాపించు",,,1,,,2,,,,
జాలువా(ల్వా)ఱు-జాలుకొను,"ప్రవహించు, కాఱు, స్రవించు, ప్రసరించు, వ్యాపించు",,,1,,,2,,,,
జాలెత్తు-జాలుకొను,"జాలువాఱు, ప్రవహించు",,,1,,,2,,,,
జిగిదేఱు ,కాంతికలుగు,,1,,,2,,,,,
జిగురుకొను,బందనగొను,,2,,,1,,,,,
జిడ్డుకొను,జిడ్డుకలదియగు,,1,,,2,,,,,
జితపడు,"అలవటుపడు, అనుకూలపడు, జతపడు",,,1,,2,,,,,
జిమ్ము,జిఱ్ఱున వెలి కుఱుకు,,,1,2,,,,,,
జిఱకొట్టు,జిఱజిఱయని ధ్వనిచేయు,,,,1,,2,,,,
జిఱ్ఱవోవు,జిఱ్ఱ అను ధ్వనిచే తిరుగుడువడు,జిఱ్ఱ,,,1,,2,,,,
జిలిబిలి వోవు,"ప్రకాశించు, ఒప్పు, తహతహలాడు, తమకపడు, తహతహపడు, సందడించు, అధికమగు",,1,,,2,,,,,
జిలుగు,"గొలుసు మోడి వ్రాయు, గొలుసు మోడి వ్రాత, చిక్కు",,1,,,2,,,,,
జివ్వాడు - జవ్వాడు,"చలించు, కదలు",,,1,,,2,,,,
జీబుకొను,"తఱుచగు, రగద, కురియు తేనెల జేబుకొన్నదంతట వనము మనుచ ",,,,,1,,,,,
జీరాడు,వస్రము కొంగు లోనగునది - నేల మొదలగు వానిపై బడి పొరలు,,,2,1,,,,,,
జీరుకాడు,వ్రేలాడు,,,1,,2,,,,,
జీరుకువాఱు,"జాఱు, జేరువాఱు",జీరుకు,,1,,2,,,,,
జీరు(లు)వాఱు,"వ్రేలాడు, జాఱు, ప్రసరించు, వ్యాపించు",,,1,,2,,,,,
జుంజుఱించు,"జుంజుఱుగానగు, చెదరు",జుంజుఱు,,1,2,,,,,,
జుడు(ణు)గుజునుగు,"అపసరిల్లు, తప్పుకొను, డాగు, వంచించి, వంచించి పోవు",,,1,,2,,,,,
జుణిగింతవెట్టు,వెనుకకు లాగు,జుణుగు,,1,2,,,,,,
జునుగు - జుడుగు,"అపసరిల్లు, తప్పుకొను, దాగు",,,1,,2,,,,,
జుబురుకొను,"గుబురుకొను, గుంపగు, గుంపుగట్టు",,,,,1,2,,,,
జువ్వరించు,విజృంభించు,,,1,,2,,,,,
జూకించు,తత్తఱపడు,జూక,2,,,,1,,,,
జెళుకు,పొరలు,,2,,,1,,,,,
జేగు(వు)ఱి(రి)oచు,"ఎఱ్ఱపడు, ఎఱ్ఱనగు",జేగుఱు,,,,,2,,1,,
జొత్తిలు(ల్లు),"ఎఱ్ఱపడు, ఎఱ్ఱనగు, రంజిల్లు, రాగిల్లు, ఆర్ధమగు, ఉద్గమించు, పైకుబుకు",జొత్తు,,,,,1,,2,,
జొత్తుకొను,"దట్టమగు, సాంద్రమగు",,2,,,1,,,,,
జొబ్బిలు(ల్లు),"రాయి, స్రవించు, కాఱు, ఉబుకు, ఉద్గమించు, తడియు, నిండారు,  అధికమగు, అనుకగు",,,1,,,2,,,,
జోకప(వ)డు,జతపడు,జోక,,,,1,2,,,,
జోకలుగట్టు,"మొత్తములగు, గుంపులగు",జోక,,1,,2,,,,,
జోగు-తూగు,జోగుట,,,,1,,2,,,,
జోడుగూడు,"కవగూడు, కలయు, మిళితమగు",,,,1,,2,,,,
టక్కుబెట్టు,"మర్మమూను, మాయకదగు",,,,,,2,,1,,
టాటాలుగు(ల్గు)ణి(ణియు)oచు,డంబములాడు,,,,,2,1,,,,
టెంకివెట్టుకొను,"(నివశించు) నివసించు, ఉండు",,,,,1,2,,,,
ఠవణిల్లు,"ఉండు, ప్రవర్తిల్లు, ఉచితమగు, తగు, ఒప్పు",,,,,2,1,,,,
ఠావుకొను,"నెలకొను, నిలుచు, ఉండు",,,,,1,2,,,,
డంగు - దంగు,పొట్టుపోవునట్లు శుభ్రముగా నలగు,,2,,1,,,,,,
డక్కు - దక్కు,"వశమగు, అధీనమగు, చేజిక్కు, లభించు, ప్రాప్తించు, పోకనిలుచు, స్థిరముగానుండు",,,,,1,,,2,,
డగ్గు - దగ్గు,కాసముచేయు,,,,1,,2,,,,
డగ్గుపడు,"ఎలుగురాలుపుడు, గాద్గద్యమునొందు",,2,,1,,,,,,
డప్పిగొను-దప్పిగొను,పిపాసితుడగు,,2,,,,1,,,,
డమ్మను,"అపోచ్చరణము చేయు, చచ్చు",,,1,,2,,,,,
డయ్యు - దయ్యు,"బడలు, అలయు, బలహీనమగు, చిక్కు, డీలుపడు, కృశించు, క్షీణించు, తగ్గు, నశించు, చెడు, పాడగు",,,1,,,2,,,,
డాకొను-దాకొను డాగికొను,"దాగుకొను, మఱుగుపడియుండు, తిరోహితమగు",డాగు,,,2,,1,,,,
డాగు - దాగు,"మఱుగుపడు, తిరోహితమగు",,,,2,,1,,,,
దాగురించు - డాగురించు,"దాగు, తిరోహితమగు",డాగు,,,1,,2,,,,
డాకొను1 - దాకొను,"సిద్ధపడు, ఉండు",డాపు,2,,,,1,,,,
డాకొను2,"చిహ్నితమగు, లాంచితమగు",,2,,,,1,,,,
డాలించు2,"శోభించు, ప్రకాశించు",డాలు,2,,,,1,,,,
డింకవేయు,చచ్చు,డింక,,1,,2,,,,,
డింకు,"చచ్చు, అణగు",,,1,,2,,,,,
డిందు,"క్షీఱించు, తగ్గిపోవు, అడగు, లీనమగు, మ్రొగ్గు, అణగరు, క్రుంగు, మునుగు, ఆఱిపోవు, నసించు, చచ్చు, తొట్రుపడు, సంభ్రమించు  ",,,1,,2,,,,,
డిందుపడు,"ఉపశమిల్లు, పోవు, కుదురుపడు, స్వస్ధమగు, దిమ్ముపడు, మత్తుగొను",,,1,,2,,,,,
డిగబడు,"వ్రేలాడు, కూలు",,,1,,2,,,,,
డిగు - డిగ్గు,"అవరోహణము చేయు, అవతరించు, క్రుంగు, క్రింది అఱగు, దిగబడు, జాఱు, విడియు, బసచేయు, తగ్గిపోవు, పోవు, సిద్ధమగు, సన్నద్ధమగు.",,,,,,,,,,
డిగువడు,"ఉపశమిల్లు, పోవు",,,2,,1,,,,,
డిగ్గజాఱు - దిగ్గజూఱు,క్రిందికి జాఱు,డిగ్గు,,1,2,,,,,,
"డిగ్గు-డిగు,దిగు","అవతరణము చేయు,అవరోహించు,క్రిందికివచ్చు,రాలు,పడు,దిగబడు,క్రుంగు,సిద్ధమగు,సన్నద్ధమగు,ఉపశమించు,పోవు,తగ్గు,మందమగు,(సరకులు),అన్యస్థలమునుండి వచ్చు,దిగుమతియగు",,,1,,2,,,,,
డిగ్గుప(వ)డు,"తక్కువపడు, న్యూనమగు",,,1,,,2,,,,
డిల్లచెడు,ధృతిచెడు,డిల్లము,,1,,,2,,,,
డిల్లపడు,"అధైర్యపడు, భయపడు",,,,,1,2,,,,
డిల్లపోవు - డిల్లపడు,అధైర్యముపడు,డిల్లము,,2,,1,,,,,
డీకొను - దీకొను,"సంసిద్ధుండగు, పూనుకొను ",,,,2,,1,,,,
డీడిక్కులాడు,"బాలురు డీడిక్కు అనుచు ఒండొరులు తలలు కొట్టుకొను, ఒకటితో నొకటి కొట్టుకొను",డీడిక్కులు,,,1,,2,,,,
డీలగు,తగ్గు,డీలు,,1,,,2,,,,
డీలు - దీలు,"డిల్లపడు, నిస్సారమగు ",,,1,,2,,,,,
డీలుకొను,"చెదరు, విక్షిప్తమగు ",డీలు,,1,,2,,,,,
డీలుప(ల్ప)డు,"డిల్లపడు, బలహీనమగు, నిస్సత్వమగు, విఱుగు, మొక్కపోవు, కుంఠితమగు, బాధపడు, పీడితమగు, చచ్చు, మృతినొందు.",,,1,,2,,,,,
డుంకు,"తగ్గు, లోపడు, లొంగు, వశమగు",,,2,1,,,,,,
డుక్కు,"దాగు, అణగియుండు, వడలు, వాడు",,2,1,,,,,,,
"డుయ్యు - డూయు,దుయ్యు,దూయు","నాటి వెడలు, తెగు, చిన్నమగు, లాగు, పైకితీయు, సడలించు, జార్చు, గ్రుచ్చు, నాటు",,,1,,,,2,,,
డుల్లు,"రాలు, రాలిపోవు, పడు, పోవు, నశించు, ఎడయగు, పాయు",,,1,,,,2,,,
డెక్కొను1,"నెలకొను, ఉండు",,,,,1,2,,,,
డెక్కొను2,"అడ్డముగాబడు, డెక్కుపడు",,,,1,,2,,,,
డెప్పరించు,అశక్యమగు,,1,,,,,,,,
డేకు - దేకు,పిఱ్ఱలతో జరగు,,,1,,,2,,,,
డొంకు,"అడగు, క్షీణించు, తగ్గు, కిదుయు, ఇంకు, ఎండు, దాగు, సంకోచించు, వెనుదీయు, కొరకు",,,1,,2,,,,,
డొంగియాడు,నేలపై చేతులాని మోకాళ్లతో నడచు,డొంగు,,1,,,2,,,,
డొంగు,"దాగు, తిరోహితమగు, ప్రాకు",,,1,,,,,2,,
డొంగులువాఱు-రేవులువాఱు,తొఱ్ఱలేర్పడు,డొంగు,,1,,,,2,,,
డొకారము(జ్రొ)సొచ్చు,"లోనుజొచ్చు, లోపల ప్రవేశించు, శరఱుచొచ్చు",,,,1,2,,,,,
డొక్కు,ముదియు,,,,1,2,,,,,
డొల్చు,డొల్లజేయు,,,1,,,,2,,,
డొల్లు - దొల్లు,"తెగిపడు, ఊడిపడు, దొరలు, పొరలు, ప్రవహించు, వ్రేలు, వ్రేలాడు, ఊడు, విడిపోవు, వదులగు",,,1,,,,2,,,
డోకు1,"ఓకలించు, క్రక్కు",,,1,,,2,,,,
డోగు1 - దోగు1,మేనితోలు బలియు ,,,1,,,2,,,,
డోగు2 - దోగు2,దోగియాడు,,,2,,,1,,,,
తండారు,"చల్లారు, ఉపశమిల్లు",,1,,,,2,,,,
తకపికలాడు,"ఇట్టట్టు చలించు, సంచలించు, కలగు",,,1,2,,,,,,
తక్కలపడు,"కళవళపడు, కలతనొందు",,,1,,2,,,,,
తక్కు1 - త్రిక్కు,"మిగులు, శేషించు, తొలగు, అపసరిల్లు, ఉడుగు, పోవు, న్యూనమగు, తక్కువయగు",,,1,,2,,,,,
తక్కువపడు,"నూన్యతనొందు, హీనమగు, లాఘవమందు",,,1,,,2,,,,
తక్కొను,"తలకొను,పూనుకోను",,,,1,,2,,,,
తగడెత్తు,"పొరలెత్తు, పొరలుగా లేచు",,,1,,2,,,,,
తగు - తపు,"యుక్తమగు, అర్హమగు, వ్యాయ్యమగు, ధర్మ్యమగు, శక్తుడగు, సమర్ధమగు, అనుగుణమగు, అనుకూలమగు, ప్రతియగు, సమానమగు, వలయు, స్వల్పమగు, ఉండు కొంచెమగు, ఒప్పు, శోభిల్లు",,2,,,1,,,,,
తగులబడు - తవులబడు,"చుక్కు, లగ్నమగు, కాలు, దగ్ధమగు   ",,,1,,,,,2,,
"తగులు, తవులు, తాలు","సక్తమగు, ఆసక్తినొందు, లగ్నమగు, బద్ధమగు, చిక్కు, చేపడు, దొరకు, కలుగు, సంభవించు, ప్రియపడు, ఇష్టపడు, 
",,,,1,,2,,,,
తగులుకొను,"లగ్నమగు, బద్ధమగు. 

",తగులు,2,,1,,,,,,
"తగులుప(వ,ల్ప)డు","సక్తమగు, ఆసక్తినొందు, వశమగు, తగు, నిరుద్ధమగు, తాకు, తగులు",,1,,2,,,,,,
తగ్గు,"తక్కూవయగు, క్రుంగు, క్రుంగబడు, వెనుదీయు, ఒఱగు, వ్రాలు, సృశించు, క్షీణించు, నశించు, పోవు",,,1,,2,,,,,
తగ్గుపడు,"క్షీణించు, తక్కువయగు, సృశమగు సన్నమగు",,,1,,2,,,,,
తచ్చనా(నలా)డు,"సంచలించు, మిక్కిలి కదలు. 
",,,1,,,2,,,,
తచ్చాడు,"అట్టిట్టు తిరుగు, సంచరించు",తచ్చ,,1,2,,,,,,
తటకాపడు,"ఆశ్చర్యపడు, నివెఱపడు, నిశ్చేష్టతనొందు, కలతపడు, కగరుపడు",తటకా,,1,,,2,,,,
తటతటపడు,"తాపమునొందు, బాధపడు",తటతట,,,,1,2,,,,
తటాకించు,"చొచ్చు, ప్రవేశించు",,,1,2,,,,,,
తటాయించు,"దూసికొనిపోవు, తూఱిపోవు",,,2,1,,,,,,
తట్టగిల్లు,తట్లయగు,తట్ట,,1,,,2,,,,
తట్టాడు,"ఊగు, అట్టిట్టుతిరుగు, సంచరించు, కంపించు, చలించు ",,,1,2,,,,,,
తట్టు1,"కలుగు, సంభవించు, తోచు, స్ఫురించు, కరగు, గట్టిగాతాకు",,1,,,2,,,,,
తట్టుముట్జాడు,"నిండుకొను, పెల్లగు, అతిశయించు",,1,,,2,,,,,
తట్టువడు,"తగులు, చిక్కుకొను, సక్తమగు ",,,1,,,,,2,,
తట్టువాఱు ,"వెనుదీయు, వెనుకకు మరలు",,,1,,,2,,,,
తట్టూర్చిపోవు ,"నిండుకొను, పెల్లగు, అతిశయించు",,1,,,2,,,,,
తట్టొఱగు ,"ఒక వైపున కొఱగు, ప్రక్కకువంగు",,,1,,,2,,,,
తడబడు,"తొట్రుపడు, తబ్బిబ్బునొందు, తొఱుమాఱగు, వ్యత్యస్తమదు, కళవళపడు,క్షీభమొందు, చలించు, కంపించు, పొరపడు, ప్రమాదపడు, కలసిపోవు, అభిన్నమగు",తడ,,1,,,2,,,,
తడయు,"జాగుసేయు, ఆలస్యము చేయు, ఆలస్యముగానుండు, మసలు, ఆలస్యమగు, ఎడయగు, కాలవిలంబమగు",,2,,,,1,,,,
తడవాడు-తడవియాడు,"చేతులతోను మోకాళ్లతోను ప్రాకు, దోగాడు, తడబడు, కలవరపడు, కలగు. ",తడవు,,1,,2,,,,,
తడవియాడు-తడవాడు,దోగాడు,,1,,2,,,,,,
తడవు,"చేతులు మోకాళ్లు నేలపై నాని ప్రాకు, దోగాడు, కడగు, యత్నించు, వర్తించు, మేలగు",,,1,,,2,,,,
తడవుకొను-తడవాడు,వదకికొను,తడవు,,1,,,2,,,,
తడవుసూపు,"తడవుచేయు, ఆల్సయముచేయు",,1,,2,,,,,,
తడితీయు-తడియాఱు,"ఆఱు, ఎండు",,,,2,1,,,,,
తడియు,"ఆర్ద్రమగు, క్లిన్నమగు",,2,,1,,,,,,
తడియెత్తు,గుడ్డతో తడిపోవునట్లు తుడుచు,,1,,2,,,,,,
తడుకువొ(పొ)డుచు,"వెలుగునాటు, కంచెవేయు",,,,,,2,,1,,
తతిగొను,సమయము కనిపెట్టు,,1,,,2,,,,,
తత్తఱపడు,"తొందరపడు, కలతపడు, కళవళపడు",,,,,1,2,,,,
తత్తఱించు-తత్తఱిల్లు,"సంభ్రమించు, తొందరపడు, క్షోభపడు, క్షుబ్ధమగు, చలించు, చాంచల్యమునొందు, ఊగులాడు, భయపడు, భీతిల్లు",,2,,,,1,,,,
తత్తఱిల్లు-తత్తఱించు,"సంభ్రమించు, తొందరపడు, క్షోభపడు, క్షుబ్ధమగు, కలతపడు, భయపడు",తత్తఱము,,,,1,2,,,,
తనరారు-తనరు,"విజృంభించు, ఒప్పు, ప్రకాశించు, పసిద్ధుడగు",,,1,,2,,,,,
తనరుచు(ర్చు)-తనరు,"పొంగు, అతిశయించు, అధికమగు, ఉండు, వర్తించు, ఒప్పు.

",,1,,,2,,,,,
తనియు,"తృప్తిపడు, ఆపోవు",,1,,,,2,,,,
తనివారు-తనివోవు,"తృప్తినొందు, ఆపోవు",,2,,,,1,,,,
తనివి(న్వి)సను,"తృప్తినొందు, ఆపోవు",,1,,,,2,,,,
తనివు(వి)పడు-తనివివోవు,తృప్తిపడు.,,1,,,,2,,,,
తనుకు - తాకు   ,"కలుగు, సంభవించు,
తప్పించు, పరితాపమునాందు,వ్యాపీంచు, ప్రసరించు,అతిశయించు ,ప్రకాశించు ,వెలుగు ,మండు,జ్యలించు,బయపడు.",,,,1,2,,,,,
తనుపారు,"తనియు,తృప్తిపడు,తల్లనగు,సీతలమగు, తృప్తికరమగు. ",,2,,,,1,,,,
తనుపాఱు,"తనయు ,తృప్తిపడు .",,1,,,,2,,,,
తను(ప)వడు,తనుపనాందు,,1,,,,2,,,,
తనునొoదు ,చల్లబడు ,,1,,,2,,,,,
తన్నుకొను ,"బాధచేత కొట్టుకొను,మిక్కిలి బాధపడు, ఆలోచించు. 
 ",తన్ను,,,1,2,,,,,
తన్నులాడు ,"ఒకటినొకటి తన్నుకొను,పరస్పరము తన్నుకొను.",తన్ను,,,2,1,,,,,
తన్నువడు ,తన్నులుదీను  తాపులువడు,,,,1,2,,,,,
తప్పదాగు,స్మృతీ తప్పునట్లు  మాద్యాదులు త్రాగు.  ,,,,,2,1,,,,
తప్పబలుకు,"అసత్యమాడు, బొoకు.  
",తప్పు,,,,2,1,,,,
తప్పదాటు ,"తొలిగిపోవు, తొలగు.",,,1,2,,,,,,
తప్ప(గ) నాడు,"అసత్యమాడు, బొoకు.",తప్పు ,,,,1,2,,,,
తప్పు,"తప్పుజేయు, అపచారముచేయు, అపకారముచేయు, హానిచేయు, ద్రోహము చేయు,తొలగు,పొరపడు,ప్రమాదపడు, దొరకకుండు,చిక్కకుండు,వశముగాకుండు, తగులకుండు,చెదరు,కడుచు,మించిపొవు, వ్వర్థమగు,నిష్పలమగు,అసత్యమగు,కల్లమగు,విడివడు,వేఱుపడు,చుౄతినాంధు,మరణించు.                     ",,,1,2,,,,,,
తప్పుకొను,"అపసరిల్లు,తొలగు,తప్పుచేయు, అపరాధముచేయు. ",,,,1,,2,,,,
తపుడువడు,"తప్పువడు,దోషియగు,సరితప్పు.   ",,,,1,,2,,,,
తప్పువడు,"తప్పుడువడు,తప్పుచేయు,దోషియగు.",తప్పు ,,,1,,2,,,,
తమకపడు,తమకము నొoదు,,,,,1,,,2,,
తమకించు,"త్వరపడు,తొందరపడు,వేగిరపడు. ",తమకము,,,1,,2,,,,
తమకు,"చలించు,భయపడు,అడగు,దాగు.",,,,,1,2,,,,
తమాయించు ,"స్తిమితమగు,శాంతించు.",,2,,,,1,,,,
తమికొను,"త్వరపడు,ఆపేక్షపడు,కుతూహలపడు, మోహపడు.",,,,1,,2,,,,
తారకటించు,తర్కిoచు. ,,,,1,2,,,,,
"తరలు,తర్లు","చలించు,జంకు,భయపడు,నడుచు,సంచరించు,ప్రయాణమగు,బయలువెడలు, తొలగు,అపసరిల్లు ,పోవు,నశిoచు.

",,,1,,,2,,,,
తరితీపుచేయు,గర్వించు.,తరితీపు,,,,1,2,,,,
తరువుసేయు,"నిర్బధించు,బలవంతపెట్టు",,,,1,,,,2,,
తఱుకు,"వ్యాపించు,పర్వు, తగ్గు,క్షీణించు,తొలుగు. ",,,1,,,,2,,,
తఱతఱకలువాఱు,"నిమోన్నతమగు,గొగ్గియగు.",,,2,,,,1,,,
తఱతఱలాడు,"భయాదులచే తత్తరపడు,తాఁటుపడు. ",తఱతఱ,2,,,,1,,,,
తఱిగివచ్చు,"తఱుగువచ్చు, క్రమముగా క్షీణించు.",,,1,,,,2,,,
తఱిగోను,"యత్నిoచు ,కడుగు,పూను. ",,2,,1,,,,,,
