క్రియ,క్రి.రూపం.,అర్థం,మూలపదము,Spatial,Temporal,Impetus (force),Measure,అర్థం,,,,,,
గ్రక్కున - గ్రక్కన,క్రి.విణ.ద్రు,"శీఘ్రముగా,వెంటనే,నిరంతరము,ఎడతెఱిపి లేకుండగ",,,1,,,"శీఘ్రముగా,వెంటనే,నిరంతరము,ఎడతెఱిపి లేకుండగ",,,,,,
గ్రద్దన,క్రి.విణ.ద్రు,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
గొడ్డేఱు,క్రి.విణ,"వ్యర్థముగా,దిక్కు లేకుండగా",,,,,1,"వ్యర్థముగా,దిక్కు లేకుండగా",,,,,,
గ్రక్కుపాటునన్,క్రి.విణ,"హఠాత్తుగా,ఆకస్మికముగా",,,1,,,"హఠాత్తుగా,ఆకస్మికముగా",,,,,,
చపచపగా,క్రి.విణ,వ్యర్ధముగా,,,,,1,వ్యర్ధముగా,,,,,,
చప్పున,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చయ్యన,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చరాలున(ల్న),క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చల్లగ,క్రి.విణ,"చల్లగా, వర్ధిల్లునట్లు, నెమ్మదిగా",,,,1,,"చల్లగా, వర్ధిల్లునట్లు, నెమ్మదిగా",,,,,,
చివాలులున,క్రి.విణ,"తటాలున, అతిశీఘ్రముగ",,,1,,,"తటాలున, అతిశీఘ్రముగ",,,,,,
చివ్వున,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చువ్వ(వ్వు)న,క్రి.విణ,"చివ్వున, శీఘ్రముగా",,,,1,,"చివ్వున, శీఘ్రముగా",,,,,,
చెచ్చెర-చెరచెర,క్రి.విణ,"శీఘ్రముగా, సులభముగా",,,,1,,"శీఘ్రముగా, సులభముగా",,,,,,
చెరచెర-చెచ్చెర,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చెల్లాకుజెదరు, క్రి.విణ,చెల్లాచెదరుగా,,1,,,,చెల్లాచెదరుగా,,,,,,
జడ్డన,క్రి.విణ.,"తటాలున, శీఘ్రముగా",,,1,2,,"తటాలున, శీఘ్రముగా",,,,,,
జరీ(లు)న,క్రి.విణ.,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
జల్లిక,క్రి.విణ.,"పెల్లుగా, అధికముగ",,,,,1,"పెల్లుగా, అధికముగ",,,,,,
జిఱ్ఱజిఱ్ఱన,క్రి.విణ.,జిఱ్ఱయన ధ్వని కలుగునట్లుగా,జిఱ్ఱ,,,1,,జిఱ్ఱయన ధ్వని కలుగునట్లుగా,,,,,,
జిలిబిలి,క్రి.విణ.,"మెల్లగా, మందముగా, సొగసుగా",,,,1,,"మెల్లగా, మందముగా, సొగసుగా",,,,,,
డాగినీ,క్రి.విణ,మల్లక్రియా విశేషము,,,,,1,మల్లక్రియా విశేషము,,,,,,
"డిగ్గన - డిగ్గున, దిగ్గన",క్రి.విణ.,తటాలున,,,1,,,తటాలున,,,,,,
డిగ్గున - డిగ్గన,క్రి.విణ.,"తటాలువ, శీఘ్రముగా",,,1,,,"తటాలువ, శీఘ్రముగా",,,,,,
డెప్పరము,క్రి.విణ.,అధికముగా,,,,,1,అధికముగా,,,,,,
తటాన - తటాలున,క్రి.విణ.,"శీఘ్రముగా, ఆకస్మికముగా",,,1,,,"శీఘ్రముగా, ఆకస్మికముగా",,,,,,
తటాలున (ల్న) - తటాన,క్రి.విణ.,"శీఘ్రముగా, వెంటవే, ఆకస్మికముగా",,,1,,,"శీఘ్రముగా, వెంటవే, ఆకస్మికముగా",,,,,,
తటుకున - తటుక్కున,క్రి.విణ.,"అతి శీఘ్రముగా, అనాలోచితముగా, హఠాత్తుగా, ఆకస్మికముగా",,,1,,,"అతి శీఘ్రముగా, అనాలోచితముగా, హఠాత్తుగా, ఆకస్మికముగా",,,,,,
తటుక్కున - తటుకున,క్రి.విణ.,"తటాలున, శీఘ్రముగా, వెంటనే",,,1,,,"తటాలున, శీఘ్రముగా, వెంటనే",,,,,,
తడుకున-తటుకున,క్రి.విణ.ద్రు,"శీఘ్రముగా, హఠాత్తుగా",,,1,,,"శీఘ్రముగా, హఠాత్తుగా",,,,,,
తరతరము,క్రి. విణ,"క్రమక్రమముగా,వరుసపెట్టి,మునుమీడి, వంశపరంపరగా, అత్యంత  మిక్కిలి.",,,1,,,"క్రమక్రమముగా,వరుసపెట్టి,మునుమీడి, వంశపరంపరగా, అత్యంత  మిక్కిలి.",,,,,,
తఱుచు,క్రి. వి ణ,"దట్టముగా,నిబిడముగా,సాంద్రముగా,అధికముగా,మిక్కిలి,ప్రాయికముగా,సమాన్యముగా.",,,,,1,"దట్టముగా,నిబిడముగా,సాంద్రముగా,అధికముగా,మిక్కిలి,ప్రాయికముగా,సమాన్యముగా.",,,,,,
తఱిదఱి,క్రి. విణ.ద్రు,తోడ్తోవెనువెంట,,,1,,,తోడ్తోవెనువెంట,,,,,,
తివుట-తిగుట,క్రి.విణ.,"శీఘ్రముగా, వడిగా",తిపురు,,,1,,"శీఘ్రముగా, వడిగా",,,,,,
తుట్టమర,క్రి.విణ.,"బొత్తిగా, పూర్ణముగా ",,,,,1,"బొత్తిగా, పూర్ణముగా ",,,,,,
తురితము,క్రి.విణ.,శీఘ్రముగా  ,,,,1,,శీఘ్రముగా  ,,,,,,
తురీన,క్రి.విణ.ద్రు,"తారూలున, హఠాత్తుగా, శీఘ్రముగా",,,1,,,"తారూలున, హఠాత్తుగా, శీఘ్రముగా",,,,,,
